ID,SUBE,MAAS,YAS,CINSIYET,MOBIL BANKACILIK
499,S39,14067,61,50,E,1
500,S39,15968,67,26,E,1
501,S39,10254,4,29,E,1
502,S39,14869,11,30,E,1
503,S39,9948,71,24,E,1
504,S39,12737,61,24,E,1
505,S4,9940,46,52,E,0
506,S4,7509,33,63,E,0
507,S4,6251,96,74,E,0
508,S4,13340,96,47,E,1
509,S4,16086,43,47,E,1
510,S4,13990,8,31,E,1
511,S4,7725,62,32,K,0
512,S4,10259,43,41,K,1
513,S4,8592,05,37,E,0
514,S4,14576,82,36,E,1
515,S4,16218,74,53,E,1
516,S4,15527,56,54,E,0
517,S4,15219,21,28,E,1
518,S4,13872,48,35,E,1
519,S4,16005,3,46,E,1
520,S4,16711,47,30,E,1
521,S4,19578,25,28,E,1
522,S4,15576,2,31,E,1
523,S4,12365,57,34,E,1
524,S4,5669,55,51,E,0
525,S4,13139,21,31,E,1
526,S4,11384,95,31,E,1
527,S4,12592,56,30,K,1
528,S41,6643,06,43,E,0
529,S41,7754,6,70,E,0
530,S41,8984,35,34,K,0
531,S41,12227,3,28,E,1
532,S41,15371,16,48,E,1
533,S42,9549,19,70,K,0
534,S42,12613,66,51,E,1
535,S42,6057,27,69,K,0
536,S42,19144,06,37,E,1
537,S42,8413,55,63,E,0
538,S42,13034,38,45,E,1
539,S42,11867,84,39,E,1
540,S42,15192,8,32,E,1
541,S42,16755,2,37,K,0
542,S42,9467,24,39,E,0
543,S42,9282,28,32,E,0
544,S42,9542,64,31,E,0
545,S42,12125,25,27,E,1
546,S43,11702,48,50,E,1
547,S44,7068,35,62,K,0
548,S44,11610,37,57,E,1
549,S44,6775,09,66,E,0
550,S44,6069,67,84,E,0
551,S44,10871,88,47,E,1
552,S44,7762,31,68,E,0
553,S44,15134,64,37,E,1
554,S44,12144,58,45,E,1
555,S44,15732,63,54,E,1
556,S44,20877,34,34,E,1
557,S44,19697,67,44,E,1
558,S44,20266,92,39,E,1
559,S44,14456,04,29,K,1
560,S44,8573,58,41,E,0
561,S44,9730,38,36,K,0
562,S44,9505,06,33,E,0
563,S44,17632,76,35,E,1
564,S44,15843,02,39,K,1
565,S44,12787,2,24,E,1
566,S44,12376,95,22,K,1
567,S44,12313,65,25,E,1
568,S45,11957,96,40,E,1
